,,,3-Index,,,3-Index+SEC,,,3-Index+Claus,,,big-M+SEC,,,big-M+Claus,,
Instance,1stScen,#Scen,Obj,Time,Opt,Obj,Time,Opt,Obj,Time,Opt,Obj,Time,Opt,Obj,Time,Opt
X10-RCU,0,100,3314.29,2.86,1,3314.29,2.86,1,3314.29,2.52,1,3314.29,183.24,1,3314.29,208.45,1
X10-RCU,1000,100,2788.75,3.42,1,2788.75,2.00,1,2788.75,1.94,1,2788.75,54.33,1,2788.75,64.69,1
X10-RCU,2000,100,2951.34,0.93,1,2951.34,2.07,1,2951.34,1.77,1,2951.34,75.25,1,2951.34,104.76,1
X10-RCU,5000,100,2849.56,5.14,1,2849.56,3.55,1,2849.56,2.44,1,2849.56,77.95,1,2849.56,102.50,1
X10-RCU,6000,100,2921.13,5.27,1,2921.13,6.23,1,2921.13,2.80,1,2921.13,90.95,1,2921.13,126.85,1
X10-RCU,7000,100,2906.94,10.20,1,2906.94,5.97,1,2906.94,3.25,1,2906.94,86.54,1,2906.94,120.56,1
X10-RMU,0,100,4857.44,1.81,1,4857.44,1.29,1,4857.44,1.23,1,4857.44,240.53,1,4857.44,292.13,1
X10-RMU,1000,100,5526.22,2.71,1,5526.22,1.73,1,5526.22,1.44,1,5526.22,851.87,1,5526.22,597.41,1
X10-RMU,2000,100,5305.83,2.77,1,5305.83,1.60,1,5305.83,1.33,1,5305.83,603.27,1,5305.83,505.05,1
X10-RMU,5000,100,4795.90,2.40,1,4795.90,2.42,1,4795.90,1.48,1,4795.90,281.12,1,4795.90,320.90,1
X10-RMU,6000,100,4650.89,2.07,1,4650.89,2.85,1,4650.89,1.64,1,4650.89,202.73,1,4650.89,215.69,1
X10-RMU,7000,100,5055.31,3.22,1,5055.31,3.74,1,5055.31,1.46,1,5055.31,418.99,1,5055.31,429.81,1
X10-RRU,0,100,3738.03,2.15,1,3738.03,1.34,1,3738.03,1.00,1,3738.03,56.25,1,3738.03,77.80,1
X10-RRU,1000,100,3526.09,2.88,1,3526.09,1.37,1,3526.09,1.05,1,3526.09,32.53,1,3526.09,43.62,1
