,,,big-M(A),,,big-M(B),,,3-Index(A),,,3-Index(B),,,3-Index(C),,,3-Index(D),,,3-Index(E),,,3-Index(F),,,3-Index(G),,,3-Index(H),,
Instance,1stScen,#Scen,Obj,Time,Opt,Obj,Time,Opt,Obj,Time,Opt,Obj,Time,Opt,Obj,Time,Opt,Obj,Time,Opt,Obj,Time,Opt,Obj,Time,Opt,Obj,Time,Opt,Obj,Time,Opt
X10-RCU,0,100,3314.29,2231.94,1,3314.29,1952.26,1,3314.29,1.28,1,3314.29,11.37,1,3314.29,2.25,1,3314.29,1.31,1,3314.29,8.10,1,3314.29,177.52,1,3314.29,11.67,1,3314.29,11.49,1
X10-RCU,1000,100,2788.75,455.77,1,2788.75,405.61,1,2788.75,1.20,1,2788.75,8.53,1,2788.75,3.34,1,2788.75,1.68,1,2788.75,5.36,1,2788.75,92.68,1,2788.75,6.85,1,2788.75,7.52,1
X10-RCU,2000,100,2951.34,863.16,1,2951.34,846.58,1,2951.34,1.15,1,2951.34,7.06,1,2951.34,.51,1,2951.34,1.13,1,2951.34,3.02,1,2951.34,86.33,1,2951.34,6.15,1,2951.34,7.28,1
X10-RCU,5000,100,2849.56,587.34,1,2849.56,589.60,1,2849.56,1.57,1,2849.56,16.01,1,2849.56,2.17,1,2849.56,1.97,1,2849.56,5.23,1,2849.56,113.91,1,2849.56,6.11,1,2849.56,7.21,1
X10-RCU,6000,100,2921.13,752.50,1,2921.13,867.74,1,2921.13,1.70,1,2921.13,20.72,1,2921.13,1.94,1,2921.13,2.01,1,2921.13,7.30,1,2921.13,132.81,1,2921.13,7.86,1,2921.13,9.09,1
X10-RCU,7000,100,2906.94,811.52,1,2906.94,773.87,1,2906.94,1.72,1,2906.94,20.28,1,2906.94,1.89,1,2906.94,1.95,1,2906.94,5.27,1,2906.94,214.68,1,2906.94,6.91,1,2906.94,8.29,1
X10-RMU,0,100,4857.44,3600.15,0,4857.44,3600.15,0,4857.44,1.10,1,4857.44,30.58,1,4857.44,1.76,1,4857.44,0.48,1,4857.44,4.74,1,4857.44,97.84,1,4857.44,4.60,1,4857.44,4.68,1
X10-RMU,1000,100,5526.22,3600.19,0,5526.22,3600.18,0,5526.22,1.76,1,5526.22,9.47,1,5526.22,3.19,1,5526.22,2.07,1,5526.22,6.03,1,5526.22,66.61,1,5526.22,6.16,1,5526.22,7.10,1
X10-RMU,2000,100,5305.83,3600.18,0,5305.83,3600.18,0,5305.83,1.30,1,5305.83,10.50,1,5305.83,.83,1,5305.83,1.97,1,5305.83,6.16,1,5305.83,66.81,1,5305.83,5.22,1,5305.83,6.24,1
