,,,3-Index,,,,,,,,,
Instance,#Scen,Obj,Time,Obj,Time,Obj,Time,Obj,Time,Obj,Time
X10-RCU,0,2631.98,0.30,3314.29,0.64,3335.71,0.60,3168.63,0.73,3271.22,0.84
X10-RCU,1000,2678.42,0.41,2788.75,0.40,3426.99,0.38,3332.56,1.17,3385.46,1.21
X10-RCU,2000,2588.87,0.25,2951.34,0.33,3071.24,0.34,3224.40,1.10,3216.60,1.18
X10-RMU,0,4401.64,0.27,4857.44,0.20,5008.80,0.31,5431.09,0.57,5335.98,0.67
X10-RMU,1000,5395.19,0.27,5526.22,0.33,5541.17,0.36,5498.91,0.57,5378.26,0.66
X10-RMU,2000,4876.24,0.24,5305.83,0.35,5150.14,0.27,5168.60,0.49,5161.76,0.65
X10-RRU,0,4085.54,0.31,3738.03,0.27,4092.34,0.30,4028.36,0.52,3984.34,0.64
X10-RRU,1000,3793.83,0.23,3526.09,0.33,3737.20,0.27,4087.82,0.55,4057.06,0.63
X10-RRU,2000,3194.33,0.19,3675.64,0.26,4026.31,0.33,4135.13,0.57,4073.04,0.75
X20-RCU,0,2593.41,3.26,2760.70,3.82,3064.50,7.98,2963.28,8.92,3003.27,9.60
X20-RCU,1000,2424.45,2.60,2513.82,2.33,2937.42,6.86,3026.05,7.15,3090.42,8.41
X20-RCU,2000,2474.18,2.36,2871.54,3.08,2897.16,6.11,2940.98,7.11,2938.31,7.81
X20-RMU,0,6141.16,3.58,6288.56,3.41,6639.69,8.45,6294.61,6.59,6358.09,9.10
X20-RMU,1000,5636.05,2.64,6148.82,3.38,6800.35,6.28,6635.37,8.44,6653.88,10.43
X20-RMU,2000,5340.88,2.54,5964.72,3.03,6247.81,6.17,6231.17,8.22,6180.66,8.34
X20-RRU,0,4503.14,2.68,5210.13,2.85,5287.46,4.34,5372.91,4.66,5356.79,5.46
X20-RRU,1000,5740.86,2.53,5350.67,2.67,5161.81,4.41,5220.96,4.49,5285.12,5.13
X20-RRU,2000,5235.45,3.51,5205.97,2.89,5698.24,5.03,5753.77,5.34,5760.38,6.80
X30-RCU,0,4600.81,20.33,4706.55,25.01,5280.45,39.76,5538.84,41.81,5377.19,45.22
X30-RCU,1000,5571.01,49.56,5348.37,30.25,4937.76,31.95,5240.98,35.65,5217.19,46.40
X30-RCU,2000,4330.76,23.50,5158.69,27.45,5200.65,28.03,5118.50,33.86,5075.47,34.07
X30-RMU,0,5538.57,71.94,6192.88,113.22,6769.30,78.57,6672.23,71.19,6552.79,67.92
X30-RMU,1000,5935.65,61.20,6239.99,64.65,6817.71,65.40,6727.85,54.16,6719.37,74.63
X30-RMU,2000,5552.71,54.23,6028.88,49.02,6207.33,39.32,6497.68,49.84,6600.90,60.16
X30-RRU,0,5208.03,19.16,5477.28,20.48,6331.61,31.35,6250.11,35.26,6246.01,38.56
X30-RRU,1000,5705.66,23.50,5875.01,27.64,6047.89,28.91,6107.83,33.97,6153.90,36.76
X30-RRU,2000,6136.20,41.20,5776.42,26.81,5953.49,27.37,6241.22,35.10,6201.90,40.65
X40-RCU,0,4006.49,85.72,4065.19,89.13,4113.53,86.08,4549.82,121.95,4578.51,137.70
X40-RCU,1000,4012.33,82.37,4143.19,97.51,4237.41,89.23,4485.95,139.18,4603.40,176.21
X40-RCU,2000,4151.26,100.75,4130.60,81.51,4645.95,111.49,4488.52,130.65,4538.24,155.33
X40-RMU,0,6381.68,83.61,6617.03,82.82,6565.50,88.55,6880.98,108.94,6967.63,103.95
X40-RMU,1000,6732.47,100.81,6561.50,87.23,6575.82,93.41,6829.87,108.52,6833.27,119.19
X40-RMU,2000,6754.70,84.81,6730.33,86.92,6941.28,104.62,6846.04,117.31,6964.16,114.98
X40-RRU,0,8620.27,573.90,7943.16,425.00,7404.31,133.38,7822.77,212.51,7714.48,223.94
X40-RRU,1000,7178.66,187.27,7293.25,354.89,7411.75,203.84,7404.06,205.55,7332.16,171.24
X40-RRU,2000,6581.18,141.74,7019.26,170.08,7187.58,174.16,7579.30,185.03,7656.58,249.10
X50-RCU,0,4322.10,684.48,4682.97,2337.66,4840.82,2536.60,5118.18,1721.25,5080.73,1729.49
X50-RCU,1000,4442.92,671.94,5122.48,3507.99,5078.79,2350.10,5051.29,3926.75,5054.38,4878.74
X50-RCU,2000,4626.10,3637.78,4701.30,2084.19,4950.89,1993.79,5213.79,3290.61,5206.64,2837.11
X50-RMU,0,7328.85,21534.82,7278.32,24314.61,7927.39,24567.01,8140.48,33555.77,8250.09,28531.06
X50-RMU,1000,7976.71,21791.87,8356.79,21277.00,8512.39,46065.21,8472.98,18652.60,8479.95,22099.20
X50-RMU,2000,7561.89,42655.42,7922.92,20115.68,7964.47,18466.16,8206.18,39908.30,8210.13,25710.76
X50-RRU,0,7750.72,1404.16,7946.00,1504.58,8565.66,2696.63,8815.35,2228.09,8873.13,2200.78
X50-RRU,1000,7080.88,455.00,7839.04,1367.08,8358.61,2558.28,8578.89,4174.02,8690.10,5430.00
X50-RRU,2000,8294.04,2123.86,8128.32,1658.05,8382.59,1679.90,8636.37,4474.21,8514.77,2282.18
X60-RCU,0,5498.09,1356.85,6082.61,1963.88,6318.36,3224.55,6197.55,2064.86,6159.42,1425.20
X60-RCU,1000,5309.38,1941.05,6287.17,1387.00,6314.09,1715.85,6145.98,2264.71,6081.88,1603.43
X60-RCU,2000,5346.89,1438.00,5677.68,1553.39,5962.94,1187.35,6052.39,1990.97,6157.11,2402.52
X60-RMU,0,7299.27,15476.58,7792.39,9117.19,8197.33,5404.38,8464.49,15009.35,8416.00,11892.05
X60-RMU,1000,6900.36,1224.16,7151.13,2578.95,7324.38,2340.68,7728.84,3150.92,7986.02,2751.66
X60-RMU,2000,6896.81,2270.19,7080.72,3314.13,8079.16,12740.17,8145.67,8330.04,8283.72,6836.30
X60-RRU,0,8347.18,5203.94,8477.55,4458.94,8434.52,3536.16,9255.62,8248.86,9391.25,16985.58
X60-RRU,1000,8671.62,9239.86,9115.34,19935.14,9168.96,9672.81,9190.27,13928.12,9052.26,6778.65
X60-RRU,2000,7983.96,4151.21,8542.88,6532.28,9162.82,12035.98,9060.59,6298.00,8983.22,6439.18
