,,50,,100,,250,,500,,750,,1000,
Instance,1stScen,Obj,Time,Obj,Time,Obj,Time,Obj,Time,Obj,Time,Obj,Time
X10-RCU,0,3557.42,0.45,3608.03,0.45,3346.14,0.42,3347.34,0.48,3349.88,0.19,3347.92,0.47
X10-RCU,1000,3375.92,0.75,3368.75,0.78,3366.65,0.72,3365.56,0.67,3345.63,0.75,3478.93,0.74
X10-RCU,2000,3526.83,0.2,3487.22,0.71,3478.99,0.77,3477.62,0.77,3361.67,0.19,3361.63,0.7
X10-RMU,0,5284.1,0.18,5411.42,0.2,5408.64,0.21,5398.02,0.21,5258.75,0.18,5256.78,0.16
X10-RMU,1000,5284.7,0.18,5266.62,0.17,5397.31,0.3,5257.38,0.29,5256.43,0.19,5256.25,0.18
X10-RMU,2000,5277.18,0.19,5269.65,0.19,5266.01,0.24,5400.4,0.22,5401.12,0.21,5258.23,0.18
X10-RRU,0,4748.04,0.2,4037.56,0.2,4035.14,0.2,4027.28,0.2,4026.55,0.19,4025.38,0.2
X10-RRU,1000,4032.67,0.24,4036.69,0.19,4450.41,0.19,4030.3,0.2,4026.99,0.2,4026.03,0.19
X10-RRU,2000,4636.51,0.19,4498.78,0.19,4451.06,0.19,4027.92,0.19,4025.33,0.19,4026.12,0.2
X20-RCU,0,3099.17,2.57,3257.55,2.23,3092.76,2.3,3089.87,2.34,3045.81,2.44,3021.8,2.46
X20-RCU,1000,3405.24,2.52,3183.23,2.22,3155.86,2.2,3021.25,2.46,3021.07,2.45,3021.24,2.46
X20-RCU,2000,3260.51,2.33,3157.38,2.2,3151.5,2.2,3066.27,2.29,3022.14,2.48,3020.99,2.45
X20-RMU,0,7031.49,2.64,7147.78,2.48,6685.35,2.53,6644.2,2.41,6530.6,2.48,6646.08,2.4
X20-RMU,1000,6763.54,2.38,6546.73,2.47,6716.09,2.42,6690.5,2.37,6708.31,2.44,6687.21,2.36
X20-RMU,2000,6657.33,2.5,6577.63,2.48,6713.17,2.57,6848.98,2.46,6713.06,2.56,6682.69,2.55
X20-RRU,0,6174.86,2.13,5443.89,2.2,5442.94,2.2,5440.72,2.2,5439.42,2.21,5439.23,2.2
X20-RRU,1000,5590.97,2.22,5469.17,2.21,5453.02,2.18,5456.56,2.2,5446.16,2.2,5442.55,2.21
X20-RRU,2000,5839.99,2.25,5828.28,2.23,5443.65,2.21,5445.9,2.21,5443.7,2.2,5446.34,2.21
X30-RCU,0,5811.66,11.02,5251.38,8.52,5814.08,10.52,5239.65,8.49,5237.91,8.51,5235.74,8.51
X30-RCU,1000,5362.35,8.46,5351.47,8.48,5273.98,8.48,5238.4,8.55,5267.06,8.51,5239.79,8.58
X30-RCU,2000,5398.83,8.47,5245.9,8.48,5763.77,10.89,5243.29,8.51,5240.8,8.49,5237.84,8.52
X30-RMU,0,7180.89,10.18,7354.64,9.88,6764.22,10.15,6741.82,10.16,6728.99,10.12,6731.08,10.13
X30-RMU,1000,6958.91,10.98,6982.65,10.59,6958.71,11.06,6952.72,11.09,6952.48,11.11,6951.6,11.08
X30-RMU,2000,7033.82,11.13,6756.08,10.14,6735.19,10.14,6729.57,10.13,6731.04,10.13,6728.46,10.15
X30-RRU,0,6292.79,10.82,6266.93,10.85,6321.4,10.13,6363.65,10.5,6315.89,10.44,6310.91,10.43
X30-RRU,1000,7036.12,10.47,6385.12,9.73,6280.46,10.62,6233.23,10.62,6229.06,10.63,6226.92,10.65
X30-RRU,2000,7273.7,11.64,6354.13,10.54,6296.94,9.98,6282.7,10.55,6232.1,10.64,6231.63,10.63
X40-RCU,0,4847.75,35.15,5025.59,34.82,4739.11,33.82,4712.37,34.48,4714.78,33.15,4707.64,33
X40-RCU,1000,4767.86,33.57,4689.66,35.36,4683.61,35.35,4797.59,32.31,4712.21,34.27,4716.1,34.14
X40-RCU,2000,4742.57,30.53,4773.3,32.86,5271.5,32.65,4718.2,31.84,4681.08,31.33,4680.57,33.22
X40-RMU,0,7440.87,31.39,7109.38,31.53,7037.25,30.69,7003.12,30.7,6998.9,36.08,6997.42,30.3
X40-RMU,1000,7821.94,33.26,7057.95,36.87,7131.01,36.79,7075.16,36.16,7074.03,34.36,7071.47,33.84
X40-RMU,2000,7054.48,28.91,7100.5,31.27,7126.22,29.2,7006.44,30.4,7003.99,28.77,7001.92,30.99
X40-RRU,0,8155.79,33.15,7866.22,31.37,7829.83,31.41,7751.98,35.74,7723.53,36.16,7715.81,33.07
X40-RRU,1000,8016.88,35,8386.93,33.33,7755.53,38.14,7811.07,33.85,7818.39,35.43,7824.87,35.04
X40-RRU,2000,7904.86,30.52,7774.97,37.73,7831.89,35.93,7744.29,33.73,7743.05,33.82,7714.79,37.07
X50-RCU,0,5483.5,80.6,5350.46,78.23,5314.91,79.85,5188.71,77.69,5181.08,74.93,5180.85,72.71
X50-RCU,1000,5485,80.13,5432.56,81.45,5314.33,77.35,5331.68,85.9,5334.72,84.18,5218.1,71.68
X50-RCU,2000,5507.99,68.04,5428.61,76.76,5231.47,80.97,5199.59,69.54,5196.01,69.79,5224.92,78.03
X50-RMU,0,8871.68,68.49,8758.88,80.27,8641.72,80.92,8599.85,79.56,8321.52,80.2,8322.91,80.61
X50-RMU,1000,10272.85,68.94,8655.58,71.59,8628.23,71.29,8600.58,84.32,8615.07,68.92,8591.61,83.52
X50-RMU,2000,9613.95,79.41,9255.87,79.91,8629.47,79.76,8312.99,77.19,8310.56,76.99,8313.62,78.35
X50-RRU,0,9120.99,74.04,9046.7,68.77,8997.3,71.4,8853.12,86.46,8833.66,86.25,8834.04,83.39
X50-RRU,1000,9030.5,84.99,9520.37,84.31,8716.41,84.64,8678.39,84.4,8677.92,91.13,8679.7,90.37
X50-RRU,2000,9338.38,76.7,8738.05,84.87,8855.1,85.05,8945.19,83.77,8680.38,83.35,8678.5,83.43
X60-RCU,0,6372.87,150.07,6361.54,150.76,6778.25,151.81,6474.53,149.32,6303.14,152.41,6485.83,158.78
X60-RCU,1000,6446.7,158.77,6527.39,149.93,6313.29,157.78,6301.36,159.16,6302.98,159.98,6310.68,152.47
X60-RCU,2000,6803.02,154.72,6642.34,154.74,6362.92,149.94,6353.26,150.09,6338.74,149.87,6326.81,154.41
X60-RMU,0,8712.11,171.39,8479.41,171.65,8265.31,156.56,8283.28,156.54,8370.37,166.87,8243.73,156.06
X60-RMU,1000,8512.67,156.36,8625.82,164.35,8451.13,171.62,8396.87,171.57,8370.24,171.48,8362.8,166.66
X60-RMU,2000,8600.54,169.6,8553.61,169.8,8616.19,164.4,8525.73,159.46,8236.47,154.52,8235.05,154.26
X60-RRU,0,9738.02,138.69,9403.11,153.27,9352.36,153.23,9285.49,153.22,9261.64,153.36,9621.51,138.36
X60-RRU,1000,10372.02,134.68,9652.3,136.43,9739.19,141.86,9233.73,155.43,9215.46,152.55,9222.28,152.52
X60-RRU,2000,10391.63,141.36,9720.19,136.42,9785.64,155.14,9264.83,151.59,9255.47,151.49,9215.65,150.72


